the problem likely will mean corrective changes before the shuttle fleet starts flying again .	he said the problem needs to be corrected before the space shuttle fleet is cleared to fly again .	4.400
-- gaza - the state of affairs in the gaza strip , which is controlled by the hamas movement , have advanced after two air raids by israel resulted in the homicide of 7 people .	- from gaza : development of the circumstances in gaza strip controlled by hamas one day after the killing of 7 people by two israeli airstrikes .	4.4
judge the setting before speaking about happy things .	we had better choose a proper occasion to tell happy stories to others ;	3.6
yes , ahmed .	yes , ahmed .	5
even al-qaeda activity on the pakistani-afghan borders is managed and financed and planned from pakistan .	even al-qaeda activity on the pakistani-afghan borders and managed and financed and planned from pakistan .	4.6
how many years will they hold tight to watch our success ?	do they have time to see our success ?	2.6
the basis for it is the nature of the work , a job description which will help to restructure the governmental apparatus , even though the project is still in the research and study phase .	where the basis would be the position description , which would assist in rearranging this body of government , regardless of the plan being presently in its analysis and fact finding stages .	4
the statement pointed out that gration visited registration centers in sudan , and that he " urged the citizens to register as the only way for the sudanese people to maintain the right to participate in the elections in april 2010 . "	the statement pointed out that ghraeshn visited registration centers in sudan , and that he " urged the citizens to register as the only way for the sudanese people to maintain the right to participate in the elections in april 2010 . "	4.8
clinton is pleased with what she called netanyahu 's details on curbing the settlement policy , describing it as an unprecedented step .	clinton pleased with what it called netanyahu details on the settlement policy , describing it as an unprecedented step .	4.6
at such times , respectable manners are needed , or rather , in your very being be thankfulness always !	nowadays , we in want of a a grateful attitude that is appreciated .	4.2
he also pointed out that to restrain inflation expectations , recently rates were increased by both the national bank of canada as well as uk 's central bank .	the central banks of both britain and canada have increased interest rates in order to control the expectations of currency inflation .	4.2
